	recipe_title	ingredient
329	b'Exquisite Pizza Sauce'	"b""b'1/4 teaspoon dried basil'"""
330	b'Exquisite Pizza Sauce'	"b""b'1/4 teaspoon ground black pepper'"""
331	b'Exquisite Pizza Sauce'	"b""b'1/8 teaspoon cayenne pepper'"""
332	b'Exquisite Pizza Sauce'	"b""b'1/8 teaspoon dried red pepper flakes'"""
333	b'Exquisite Pizza Sauce'	"b""b'salt to taste'"""
334	b'Ginger Glazed Mahi Mahi'	"b""b'3 tablespoons honey'"""
335	b'Ginger Glazed Mahi Mahi'	"b""b'3 tablespoons soy sauce'"""
336	b'Ginger Glazed Mahi Mahi'	"b""b'3 tablespoons balsamic vinegar'"""
337	b'Ginger Glazed Mahi Mahi'	"b""b'1 teaspoon grated fresh ginger root'"""
338	b'Ginger Glazed Mahi Mahi'	"b""b'1 clove garlic, crushed or to taste'"""
339	b'Ginger Glazed Mahi Mahi'	"b""b'2 teaspoons olive oil'"""
340	b'Ginger Glazed Mahi Mahi'	"b""b'4 (6 ounce) mahi mahi fillets'"""
341	b'Ginger Glazed Mahi Mahi'	"b""b'salt and pepper to taste'"""
342	b'Ginger Glazed Mahi Mahi'	"b""b'1 tablespoon vegetable oil'"""
343	b'Fish Tacos'	"b""b'1 cup all-purpose flour'"""
344	b'Fish Tacos'	"b""b'2 tablespoons cornstarch'"""
345	b'Fish Tacos'	"b""b'1 teaspoon baking powder'"""
346	b'Fish Tacos'	"b""b'1/2 teaspoon salt'"""
347	b'Fish Tacos'	"b""b'1 egg'"""
348	b'Fish Tacos'	"b""b'1 cup beer'"""
349	b'Fish Tacos'	"b""b'1/2 cup plain yogurt'"""
350	b'Fish Tacos'	"b""b'1/2 cup mayonnaise'"""
351	b'Fish Tacos'	"b""b'1 lime, juiced'"""
352	b'Fish Tacos'	"b""b'1 jalapeno pepper, minced'"""
353	b'Fish Tacos'	"b""b'1 teaspoon minced capers'"""
354	b'Fish Tacos'	"b""b'1/2 teaspoon dried oregano'"""
355	b'Fish Tacos'	"b""b'1/2 teaspoon ground cumin'"""
356	b'Fish Tacos'	"b""b'1/2 teaspoon dried dill weed'"""
357	b'Fish Tacos'	"b""b'1 teaspoon ground cayenne pepper'"""
358	b'Fish Tacos'	"b""b'1 quart oil for frying'"""
359	b'Fish Tacos'	"b""b'1 pound cod fillets, cut into 2 to 3 ounce portions'"""
360	b'Fish Tacos'	"b""b'1 (12 ounce) package corn tortillas'"""
361	b'Fish Tacos'	"b""b'1/2 medium head cabbage, finely shredded'"""
362	b'Refried Beans Without the Refry'	"b""b'1 onion, peeled and halved'"""
363	b'Refried Beans Without the Refry'	"b""b'3 cups dry pinto beans, rinsed'"""
364	b'Refried Beans Without the Refry'	"b""b'1/2 fresh jalapeno pepper, seeded and chopped'"""
365	b'Refried Beans Without the Refry'	"b""b'2 tablespoons minced garlic'"""
366	b'Refried Beans Without the Refry'	"b""b'5 teaspoons salt'"""
367	b'Refried Beans Without the Refry'	"b""b'1 3/4 teaspoons fresh ground black pepper'"""
368	b'Refried Beans Without the Refry'	"b""b'1/8 teaspoon ground cumin, optional'"""
369	b'Refried Beans Without the Refry'	"b""b'9 cups water'"""
370	b'Baked Kale Chips'	"b""b'1 bunch kale'"""
371	b'Baked Kale Chips'	"b""b'1 tablespoon olive oil'"""
372	b'Baked Kale Chips'	"b""b'1 teaspoon seasoned salt'"""
373	b'Roasted Vegetables'	"b""b'1 small butternut squash, cubed'"""
374	b'Roasted Vegetables'	"b""b'2 red bell peppers, seeded and diced'"""
375	b'Roasted Vegetables'	"b""b'1 sweet potato, peeled and cubed'"""
376	b'Roasted Vegetables'	"b""b'3 Yukon Gold potatoes, cubed'"""
377	b'Roasted Vegetables'	"b""b'1 red onion, quartered'"""
378	b'Roasted Vegetables'	"b""b'1 tablespoon chopped fresh thyme'"""
379	b'Roasted Vegetables'	"b""b'2 tablespoons chopped fresh rosemary'"""
380	b'Roasted Vegetables'	"b""b'1/4 cup olive oil'"""
381	b'Roasted Vegetables'	"b""b'2 tablespoons balsamic vinegar'"""
382	b'Roasted Vegetables'	"b""b'salt and freshly ground black pepper'"""
383	b'Unbelievable Chicken'	"b""b'1/4 cup cider vinegar'"""
384	b'Unbelievable Chicken'	"b""b'3 tablespoons prepared coarse-ground mustard'"""
385	b'Unbelievable Chicken'	"b""b'3 cloves garlic, peeled and minced'"""
386	b'Unbelievable Chicken'	"b""b'1 lime, juiced'"""
387	b'Unbelievable Chicken'	"b""b'1/2 lemon, juiced'"""
388	b'Unbelievable Chicken'	"b""b'1/2 cup brown sugar'"""
389	b'Unbelievable Chicken'	"b""b'1 1/2 teaspoons salt'"""
390	b'Unbelievable Chicken'	"b""b'ground black pepper to taste'"""
391	b'Unbelievable Chicken'	"b""b'6 tablespoons olive oil'"""
392	b'Unbelievable Chicken'	"b""b'6 skinless, boneless chicken breast halves'"""
393	b'Simple Whole Wheat Bread'	"b""b'3 cups warm water (110 degrees F/45 degrees C)'"""
394	b'Simple Whole Wheat Bread'	"b""b'2 (.25 ounce) packages active dry yeast'"""
395	b'Simple Whole Wheat Bread'	"b""b'1/3 cup honey'"""
396	b'Simple Whole Wheat Bread'	"b""b'5 cups bread flour'"""
397	b'Simple Whole Wheat Bread'	"b""b'3 tablespoons butter, melted'"""
398	b'Simple Whole Wheat Bread'	"b""b'1/3 cup honey'"""
399	b'Simple Whole Wheat Bread'	"b""b'1 tablespoon salt'"""
400	b'Simple Whole Wheat Bread'	"b""b'3 1/2 cups whole wheat flour'"""
401	b'Simple Whole Wheat Bread'	"b""b'2 tablespoons butter, melted'"""
402	b'Six Can Chicken Tortilla Soup'	"b""b'1 (15 ounce) can whole kernel corn, drained'"""
403	b'Six Can Chicken Tortilla Soup'	"b""b'2 (14.5 ounce) cans chicken broth'"""
404	b'Six Can Chicken Tortilla Soup'	"b""b'1 (10 ounce) can chunk chicken'"""
405	b'Six Can Chicken Tortilla Soup'	"b""b'1 (15 ounce) can black beans'"""
406	b'Six Can Chicken Tortilla Soup'	"b""b'1 (10 ounce) can diced tomatoes with green chile peppers, drained'"""
407	b'Simple Turkey Chili'	"b""b'1 1/2 teaspoons olive oil'"""
408	b'Simple Turkey Chili'	"b""b'1 pound ground turkey'"""
409	b'Simple Turkey Chili'	"b""b'1 onion, chopped'"""
410	b'Simple Turkey Chili'	"b""b'2 cups water'"""
411	b'Simple Turkey Chili'	"b""b'1 (28 ounce) can canned crushed tomatoes'"""
412	b'Simple Turkey Chili'	"b""b'1 (16 ounce) can canned kidney beans - drained, rinsed, and mashed'"""
413	b'Simple Turkey Chili'	"b""b'1 tablespoon garlic, minced'"""
414	b'Simple Turkey Chili'	"b""b'2 tablespoons chili powder'"""
415	b'Simple Turkey Chili'	"b""b'1/2 teaspoon paprika'"""
416	b'Simple Turkey Chili'	"b""b'1/2 teaspoon dried oregano'"""
417	b'Simple Turkey Chili'	"b""b'1/2 teaspoon ground cayenne pepper'"""
418	b'Simple Turkey Chili'	"b""b'1/2 teaspoon ground cumin'"""
419	b'Simple Turkey Chili'	"b""b'1/2 teaspoon salt'"""
420	b'Simple Turkey Chili'	"b""b'1/2 teaspoon ground black pepper'"""
421	b'Black Bean and Salsa Soup'	"b""b'2 (15 ounce) cans black beans, drained and rinsed'"""
422	b'Black Bean and Salsa Soup'	"b""b'1 1/2 cups vegetable broth'"""
423	b'Black Bean and Salsa Soup'	"b""b'1 cup chunky salsa'"""
424	b'Black Bean and Salsa Soup'	"b""b'1 teaspoon ground cumin'"""
425	b'Black Bean and Salsa Soup'	"b""b'4 tablespoons sour cream'"""
426	b'Black Bean and Salsa Soup'	"b""b'2 tablespoons thinly sliced green onion'"""
